Region: 00  | Segments: 48    | Area: 510176.066
S           | A               | B               | E           | Color
349.5,473.5 | 357.860,473.169 | 366.193,00473.5 | 374.5,474.5 | green
374.5,474.5 | 371.575,480.608 | 369.242,00486.9 | 367.5,493.5 | blue
367.5,493.5 | 367.590,495.425 | 368.590,00496.6 | 370.5,497.0 | pink
370.5,497.0 | 393.781,498.459 | 417.114,00499.0 | 440.5,498.5 | red
440.5,498.5 | 440.500,488.833 | 440.500,00479.2 | 440.5,469.5 | orange
440.5,469.5 | 446.833,469.500 | 453.167,00469.5 | 459.5,469.5 | yellow
459.5,469.5 | 459.500,479.167 | 459.500,00488.8 | 459.5,498.5 | green
459.5,498.5 | 473.504,498.667 | 487.504,00498.5 | 501.5,498.0 | blue
501.5,498.0 | 524.134,494.632 | 546.300,00489.5 | 568.0,482.5 | pink
568.0,482.5 | 567.809,470.686 | 566.309,00459.0 | 563.5,447.5 | red
563.5,447.5 | 570.355,445.105 | 577.355,00443.1 | 584.5,441.5 | orange
584.5,441.5 | 585.530,451.294 | 587.364,00461.0 | 590.0,470.5 | yellow
590.0,470.5 | 590.725,471.059 | 591.558,00471.4 | 592.5,471.5 | green
592.5,471.5 | 610.973,465.381 | 629.640,00459.9 | 648.5,455.0 | blue
648.5,455.0 | 666.857,450.575 | 682.357,00441.4 | 695.0,427.5 | pink
695.0,427.5 | 699.226,421.716 | 702.392,00415.4 | 704.5,408.5 | red
704.5,408.5 | 711.885,405.974 | 718.885,00402.6 | 725.5,398.5 | orange
725.5,398.5 | 726.498,406.472 | 726.831,00414.5 | 726.5,422.5 | yellow
726.5,422.5 | 748.468,420.010 | 769.135,00413.5 | 788.5,403.0 | green
788.5,403.0 | 801.230,393.601 | 811.063,00381.8 | 818.0,367.5 | blue
818.0,367.5 | 827.175,357.991 | 836.008,00348.2 | 844.5,338.0 | pink
844.5,338.0 | 847.167,337.333 | 849.833,00337.3 | 852.5,338.0 | red
852.5,338.0 | 862.804,343.060 | 872.304,00349.2 | 881.0,356.5 | orange
